Year,MSHA_ID,Mine_Name,Mine_State,Mine_County,Mine_Basin,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Production_short_tons,Average_Employees,Labor_Hours
2010,103155,Corinth Prep Plant,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Preparation Plant,Warrior Investment Company Inc,"218 Highway 195, Jasper, AL 35503",,0,9,24307
2010,103155,Corinth Prep Plant,Alabama,Walker,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Preparation Plant,Warrior Investment Company Inc,"218 Highway 195, Jasper, AL 35503",,0,9,24307
2010,103195,Mccollum/Sparks Branch Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Quality Coal, Inc.","P.O. Box 2705, Jasper, AL 35502",,101953,16,34111
2010,103292,Redstar,Alabama,Walker,Appalachia Southern,Temporarily closed,Surface,Operating Subsidiary,Mine only,"Evergreen Mining, Llc","74 Industrial Parkway, Jasper, AL 35501",,51335,18,27808
2010,103336,Sugar Town Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Haley Bros. Coal, In","P.O. Box 56, 414 5th Ave Nw, Carbon Hill, AL 35549",,81352,17,29126
2010,103337,Gooden Creek,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Birmingham Coal & Coke Co Inc,"P.O. Box 354, Lynn, AL 35575",,110391,19,47882
2010,103339,Mallards Creek Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Haley Brothers Coal Inc,"P.O. Box 56, Carbon Hill, AL 35549",,60487,16,41207
2010,103342,Reese's Branch Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Contractor,Mine only,"Cedar Lake Mining, Inc","2600 Warrior Jasper Road, Warrior, AL 35180",,439709,55,123979
2010,103370,Cresent Valley Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,National Coal Of Alabama Inc,"1810 Birmingham Ave, Suite 101, Jasper, AL 35501",,63405,17,31960
2010,103372,Cane Creek Mine,Alabama,Walker,Appalachia Southern,Temporarily closed,Surface,Indepedent Producer Operator,Mine only,Cane Creek Llc,"P.O. Box 2322, Jasper, AL 35504",,18013,10,23016
