Year,MSHA_ID,Mine_Name,Mine_State,Mine_County,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Production_short_tons,Average_Employees,Labor_Hours
2012,103423,Dutton Hill Mine,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Mine only,"Quality Coal Company, Inc.","17405 Hwy 69 S, Jasper, AL 35501",-,53404,10,35475
2012,103321,Poplar Springs,Alabama,Winston,Active,Surface,Indepedent Producer Operator,Mine only,National Coal Of Alabama Inc,"1810 Birmingham Ave, Suite 101, Jasper, AL 35501",-,372942,59,150757
2012,103358,Old Union,Alabama,Winston,Active,Surface,Indepedent Producer Operator,Mine only,Birmingham Coal & Coke Co Inc,"912 Edenton St, Birmingham, AL 35242",-,254088,46,124506
2012,5000030,Usibelli,Alaska,Yukon-Koyukuk,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Usibelli Coal Mine I,"P.O. Box 1000, Healy, AK 99743",,2052086,143,343176
2012,201195,Kayenta Mine,Arizona,Navajo,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Peabody Western Coal Company,"P.O. Box 650, Kayenta, AZ 86033",United Mine Workers of America,7493276,432,1015929
2012,301569,Penny #1,Arkansas,Sebastian,Active,Surface,Indepedent Producer Operator,Mine only,Comer Mining Company,"P.O. Box 986, Greenwood, AR 72936",-,1921,3,5164
2012,301736,Sebastian Mine,Arkansas,Sebastian,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,South Central Coal Co. Inc.,"P.O. Box 6, Spiro, OK 74959",-,96200,70,163599
2012,503818,Terror Creek Loadout,Colorado,Delta,Active,Underground,Indepedent Producer Operator,Preparation Plant,Terror Creek Llc,"1840 Hwy 133, Paonia, CO 81428",-,0,5,6362
2012,504591,Bowie No 2 Mine,Colorado,Delta,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Bowie Resources Llc,"P.O. Box 1488, Paonia, CO 81428",-,3430291,331,702387
2012,503672,West Elk Mine,Colorado,Gunnison,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,"Mountain Coal Company, L.L.C.","P.O. Box 591, Somerset, CO 81434",-,6852136,367,807767
2012,504674,Elk Creek Mine,Colorado,Gunnison,Active,Underground,Operating Subsidiary,Mine only,"Oxbow Mining, Llc","P.O. Box 535, Somerset, CO 81434",-,2958014,346,656262
2012,504864,King Ii,Colorado,La Plata,Active,Underground,Operating Subsidiary,Mine only,Gcc Energy Llc,"6473 County Road 120, Hesperus, CO 81326",-,639003,81,202386
2012,500296,New Elk Mine,Colorado,Las Animas,"Active, men working, not producing",Underground,Indepedent Producer Operator,Mine and Preparation Plant,New Elk Coal Company Llc,"122 W. 1st Street, Trinidad, CO 81082",-,51272,96,106717
2012,504461,New Elk Prep Plant,Colorado,Las Animas,"Active, men working, not producing",Underground,Indepedent Producer Operator,Preparation Plant,New Elk Coal Company Llc,"122 W First, Trinidad, CO 81082",-,0,77,63841
2012,504975,Bates Portals,Colorado,Las Animas,"Active, men working, not producing",Underground,Indepedent Producer Operator,Mine only,New Elk Coal Company Llc,"12250 Hy12, Weston, CO 81091",-,18048,39,32955
2012,502838,Trapper Mine,Colorado,Moffat,Active,Surface,Indepedent Producer Operator,Mine only,Trapper Mining Inc,"P.O. Box 187, Craig, CO 81626",International Union of Operation Engineers,2301237,185,383306
2012,502962,Colowyo Mine,Colorado,Moffat,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Colowyo Coal Company L P,"5731 State Highway 13, Meeker, CO 81641",-,2265362,261,509347
2012,500299,New Horizon Mine,Colorado,Montrose,Active,Surface,Operating Subsidiary,Mine only,"Western Fuels-Colorado, Llc","P.O. Box 628, Nucla, CO 81424",,353398,27,52511
2012,503505,Deserado Mine,Colorado,Rio Blanco,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Blue Mountain Energy Inc,"3607 County Road #65, Rangely, CO 81648",United Mine Workers of America,1673461,174,341182
2012,503836,Foidel Creek Mine,Colorado,Routt,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Peabody Twentymile Mining Llc,"29515 Routt Cnty Rd#27, Oak Creek, CO 80467",-,7974732,497,1033083
2012,504952,Peabody Sage Creek Mine,Colorado,Routt,"Active, men working, not producing",Underground,Operating Subsidiary,Mine only,"Peabody Sage Creek Mining, Llc","29515 Rcr 33, Oak Creek, CO 80467",-,49140,19,36801
2012,1103189,Mc#1 Mine,Illinois,Franklin,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,M-Class Mining Llc,"11351 N. Thompsonville Rd., Macedonia, IL 62860",-,4690260,241,576133
2012,1103017,Wildcat Hills Mine - Cottage G,Illinois,Gallatin,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,"Peabody Midwest Mining, Llc","7100 Eagle Crest Blvd., Suite, Evansville, IN 47715",-,1997441,189,456358
2012,1103020,Creek Paum Mine,Illinois,Jackson,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Knight Hawk Coal Llc,"500 Cuttler-Trico Road, Percy, IL 62272",-,91585,19,31511
2012,1103020,Creek Paum Mine,Illinois,Jackson,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Knight Hawk Coal Llc,"500 Cuttler-Trico Road, Percy, IL 62272",-,0,12,6105
2012,1103140,Cora Terminal,Illinois,Jackson,Active,Surface,Indepedent Producer Operator,Preparation Plant,Kinder Morgan Operating Lp,"262 Cora Road, Rockwood, IL 62280",International Union of Operation Engineers,0,49,92512
2012,1103209,North Grindstone Mine,Illinois,Mcdonough,Permanently abandoned,Surface,Operating Subsidiary,Mine and Preparation Plant,Black Nugget Llc,"P.O. Box 235, Industry, IL 61440",-,183641,26,53231
2012,1100726,Shay #1 Mine,Illinois,Macoupin,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Maryan Mining Llc,"14300 Brushy Mound Rd, Carlinville, IL 62626",-,1702286,128,290427
2012,1102632,Crown Iii Mine,Illinois,Macoupin,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,"Tri County Coal, Llc","2 Mine Avenue/P. O. Box 139, Farmersville, IL 62533",United Mine Workers of America,811103,204,424175
2012,1103182,Deer Run Mine,Illinois,Montgomery,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Patton Mining Llc,"211 N Broadway,ste 2600, St. Louis, MO 63102",-,2365356,128,300594
2012,1103045,Red Hawk,Illinois,Perry,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,"Knight Hawk Coal, Llc","500 Cutler-Trico Road, Percy, IL 62272",-,514339,43,92953
2012,1103143,Prairie Eagle,Illinois,Perry,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,"Knight Hawk Coal, Llc","500 Cutler-Trico Road, Percy, IL 62272",-,201694,10,62829
2012,1103143,Prairie Eagle,Illinois,Perry,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,"Knight Hawk Coal, Llc","500 Cutler-Trico Road, Percy, IL 62272",-,0,76,49056
2012,1103147,Prairie Eagle-Underground,Illinois,Perry,Active,Underground,Indepedent Producer Operator,Mine only,"Knight Hawk Coal, Llc","500 Cutler-Trico Rd, Percy, IL 62272",-,1856866,132,289992
2012,1103205,Prairie Eagle South Undergroun,Illinois,Perry,Active,Underground,Indepedent Producer Operator,Mine only,Knight Hawk Coal Llc,"500 Cutler-Trico Road, Percy, IL 62272",-,980937,57,118768
2012,1102408,Gateway Mine,Illinois,Randolph,Active,Underground,Indepedent Producer Operator,Mine only,"Peabody Midwest Mining, Llc","7100 Eagle Crest Blvd., Suite, Evansville, IN 47715",-,2766139,224,460807
2012,1102546,Preparation Plant,Illinois,Randolph,Active,Underground,Indepedent Producer Operator,Preparation Plant,"Peabody Midwest Mining, Llc","P.O. Box 397, Coulterville, IL 62237",-,0,29,71792
2012,1103224,Kellogg Terminal,Illinois,Randolph,Active,Surface,Indepedent Producer Operator,Preparation Plant,"Kellogg Terminal, Llc","No. 2 Monsanto Ave., Sauget, IL 62201",-,0,5,7504
2012,1103224,Kellogg Terminal,Illinois,Randolph,Active,Underground,Indepedent Producer Operator,Preparation Plant,"Kellogg Terminal, Llc","No. 2 Monsanto Ave., Sauget, IL 62201",-,0,4,7504
